БЄ·ўїЖ,µҐєЛ,¶аєЛ,ИэРЗ,µҐєЛ,¶аєЛ,чичлЦРµН¶Л,µҐєЛ,¶аєЛ,ёЯНЁ1,µҐєЛ,¶аєЛ,ёЯНЁ2,µҐєЛ,¶аєЛ,чичлёЯ¶Л,µҐєЛ,¶аєЛ,ёЯНЁёЯ¶Л,µҐєЛ,¶аєЛ,Ж»№ы,µҐєЛ,¶аєЛ
P60,1525,5800,Exynos 9820,3900,10600,чичл810,2825,7900,жзБъ675,2375,6600,жзБъ730,2575,7100,чичл980,3400,10200,жзБъ855+,3600,11400,A12X,5050,18200
X27,1775,5400,Exynos 9810,3700,9100,чичл710,1550,5750,жзБъ670,1750,5800,жзБъ712,1975,6100,чичл970,1975,6750,жзБъ855,3525,11300,A12,4850,11600
X23,1650,4900,Exynos 8895,2000,6850,чичл659,925,3800,жзБъ665,1500,5425,жзБъ710,1900,6000,чичл960,1900,6650,жзБъ845,2475,9100,A10X,3900,9300
X20,1650,5200,Exynos 8890,1950,6100,,,,жзБъ653,1525,4800,жзБъ450,775,4000,чичл955,1850,6100,жзБъ835,1975,6800,A11,4250,10600
P25,950,4050,Exynos 9610,1700,5700,,,,жзБъ652,1450,4500,жзБъ439,875,3300,чичл950,1750,5800,жзБъ821,1900,4800,A10,3525,6050
P23,900,4000,Exynos 9609,1600,5150,,,,жзБъ626,925,4400,жзБъ430,675,2800,чичл935,800,2925,жзБъ820,1750,4300,A9X,3200,5300
P20,850,3900,Exynos 7420,1400,4800,,,,жзБъ630,875,4150,жзБъ425,675,1875,чичл930,750,2900,жзБъ810,1400,4250,A9,2500,4450
G90T,2576,7700,Exynos 7885,1525,4450,,,,жзБъ650,1450,3800,жзБъ410,525,1400,чичл925,700,2000,жзБъ808,1300,3200,A8X,1850,4400
G90,2400,7100,Exynos 7904,1325,4125,,,,жзБъ617,700,3100,жзБъ625,875,4300,чичл920,675,1900,жзБъ805,1100,2900,A8,1600,2700
P90,2000,6800,,,,,,,жзБъ616,660,2100,жзБъ636,1325,4850,,,,жзБъ800,975,2600,A7,1325,2275
P65,1800,6000,,,,,,,жзБъ615,650,2000,жзБъ660,1625,5900,,,,,,,A6,775,1275
X10,825,4300,,,,,,,жзБъ600,775,1900,,,,,,,,,,A5,280,500
