,CPU多核,GPU,,CPU多核,GPU,,CPU多核,GPU,,CPU多核,GPU,,CPU多核,GPU,,CPU多核,GPU,,CPU多核,GPU,,CPU多核,GPU
联发科,1,19,三星,2,18,麒麟中低端,3,17,高通1,4,16,高通2,5,15,麒麟高端,6,14,高通高端,7,13,苹果,8,12
P60,5800,20,Exynos 9820,10600,102,麒麟810,7900,55,骁龙675,6600,22,骁龙730,7100,39,麒麟980,10200,89,骁龙855+,11400,109,A12,11600,148
X27,5400,18,Exynos 9810,9100,77,麒麟710,5750,21,骁龙670,5800,28,骁龙712,6100,36,麒麟970,6750,65,骁龙855,11300,102,A10X,9300,116
X23,4900,11,Exynos 8895,6850,60,麒麟659,3800,8,骁龙665,5425,23,骁龙710,6000,32,麒麟960,6650,51,骁龙845,9100,84,A11,10600,92
X20,5200,16,Exynos 8890,6100,40,,,,骁龙653,4800,15,骁龙450,4000,9.5,麒麟955,6100,18,骁龙835,6800,65,A10,6050,65
P25,4050,10,Exynos 7420,4800,25,,,,骁龙652,4500,15,骁龙439,3300,9,麒麟950,5800,18,骁龙821,4800,48,A9X,5300,86
P23,4000,9,Exynos 7885,4450,15,,,,骁龙626,4400,10,骁龙430,2800,7.5,麒麟935,2925,8.5,骁龙820,4300,45,A9,4450,41
P20,3900,10,,,,,,,骁龙630,4150,14,骁龙425,1875,3,麒麟930,2900,8.5,骁龙810,4250,25,A8X,4400,41
G90T,7700,48,,,,,,,骁龙650,3800,15,骁龙410,1400,2,麒麟925,2000,8.5,骁龙808,3200,16,A8,2700,20
G90,7100,42,,,,,,,骁龙617,3100,6.8,骁龙625,4300,10,麒麟920,1900,8.5,骁龙805,2900,20,A7,2275,15
P90,6800,30,,,,,,,骁龙616,2100,6.8,骁龙636,4850,15,,,,骁龙800,2600,11.5,A6,1275,7
P65,6000,20,,,,,,,骁龙615,2000,6.8,骁龙660,5900,23,,,,,,,A5,500,4
X10,4300,10,,,,,,,骁龙600,1900,6,,,,,,,,,,,,
P35,4300,11,,,,,,,,,,,,,,,,,,,,,
P10,3100,7.2,,,,,,,,,,,,,,,,,,,,,
X30,5900,40,,,,,,,,,,,,,,,,,,,,,
